                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88379,                 1.1333,                 2.3752,                0.86773,                0.02695,                0.98264,                 0.6756,                0.42696,                0.02714,                0.98958,                0.68497,                0.50889,                0.85083,                 1.0944,                 3.0845,                0.81045,                0.00048,                0.00048,                0.00048
                      2,                0.82909,                 0.8926,                0.94596,                0.86071,                0.02657,                0.96875,                0.07452,                 0.0567,                0.02686,                0.97917,                0.07498,                0.05727,                0.96892,                 1.1902,                 2.9329,                 0.8488,             0.00097677,             0.00097677,             0.00097677
                      3,                0.80633,                0.89426,                0.82842,                0.86265,                0.98298,                0.60159,                0.86326,                0.63162,                0.98298,                0.60159,                0.84344,                  0.592,                0.93023,                 1.1131,                 2.2901,                0.85446,              0.0014702,              0.0014702,              0.0014702
                      4,                0.78235,                0.84062,                 0.7494,                0.85737,                0.97266,                0.74116,                 0.9056,                0.69218,                0.97722,                0.74463,                0.90034,                0.61338,                0.86956,                 1.2009,                 1.8625,                0.84349,              0.0019604,              0.0019604,              0.0019604
                      5,                0.73873,                0.82538,                0.69516,                0.85162,                0.96798,                0.94478,                0.98212,                0.76445,                0.96441,                0.94097,                0.97627,                0.67338,                0.85363,                  1.151,                 1.2128,                 0.8302,              0.0019736,              0.0019736,              0.0019736
                      6,                0.74437,                0.79298,                0.67856,                0.85075,                0.94882,                0.96528,                0.98418,                0.77094,                 0.9454,                0.96181,                0.97814,                0.70604,                0.81336,                 1.2126,                0.96268,                0.83181,               0.001967,               0.001967,               0.001967
                      7,                0.72468,                0.80576,                0.63494,                0.84632,                0.95278,                0.96181,                0.97777,                0.77045,                0.95278,                0.96181,                0.97603,                0.71327,                0.83342,                0.98597,                0.76161,                0.83867,              0.0019604,              0.0019604,              0.0019604
                      8,                0.70909,                0.74573,                0.62286,                0.83817,                0.97914,                0.96528,                0.99225,                0.81739,                0.97562,                0.96181,                0.98285,                0.70438,                0.71888,                 1.0475,                0.70125,                0.83927,              0.0019538,              0.0019538,              0.0019538
                      9,                0.66249,                0.73805,                  0.586,                0.83574,                0.98399,                0.95833,                0.98447,                0.78972,                0.96963,                0.94444,                0.97251,                0.69877,                0.75881,                0.96173,                 0.6488,                0.83712,              0.0019472,              0.0019472,              0.0019472
                     10,                0.69281,                0.76888,                0.56708,                0.83733,                0.97795,                0.96875,                0.99156,                0.81803,                0.97201,                 0.9645,                0.98196,                0.73985,                0.72731,                0.98615,                0.60094,                0.82871,              0.0019406,              0.0019406,              0.0019406
                     11,                0.65685,                0.72354,                0.56635,                0.83346,                0.98045,                0.97569,                0.98985,                0.80546,                0.98454,                0.96181,                0.98364,                0.69947,                0.68516,                0.91858,                 0.6138,                0.82254,               0.001934,               0.001934,               0.001934
                     12,                0.64639,                0.68691,                0.53457,                0.83116,                0.96613,                0.96528,                0.98007,                0.80587,                0.96869,                0.95139,                0.96948,                0.68953,                 0.7099,                0.86003,                  0.599,                0.83052,              0.0019274,              0.0019274,              0.0019274
                     13,                0.65772,                0.70798,                0.53771,                0.83258,                0.97585,                0.98196,                0.98494,                0.80758,                 0.9724,                0.97848,                0.98297,                0.69801,                0.71563,                0.80975,                0.57701,                0.83085,              0.0019208,              0.0019208,              0.0019208
                     14,                0.66797,                0.71215,                0.52222,                0.82921,                0.98204,                0.95833,                0.98435,                 0.8179,                 0.9856,                0.96181,                0.98728,                0.68373,                0.71066,                0.75213,                 0.5617,                0.83605,              0.0019142,              0.0019142,              0.0019142
                     15,                0.64011,                0.68139,                0.51308,                0.82277,                0.99172,                0.96528,                0.98456,                 0.8268,                0.99233,                0.95833,                0.98266,                0.68807,                0.65697,                0.79933,                0.56698,                0.82181,              0.0019076,              0.0019076,              0.0019076
                     16,                0.61069,                0.66175,                 0.4854,                 0.8245,                0.97586,                0.98235,                0.99339,                0.82137,                0.98529,                0.96528,                0.99124,                0.71563,                0.68449,                0.82086,                0.51504,                0.83411,               0.001901,               0.001901,               0.001901
                     17,                0.63598,                0.68087,                0.48117,                 0.8255,                0.99362,                0.97222,                0.98944,                  0.822,                0.99007,                0.96875,                0.98173,                0.69122,                0.61304,                0.87124,                0.50853,                 0.8163,              0.0018944,              0.0018944,              0.0018944
                     18,                0.60179,                0.65926,                0.46966,                0.82818,                0.99462,                0.96875,                0.98857,                0.82809,                0.98777,                0.96181,                0.97818,                0.70236,                0.64513,                0.83619,                0.49437,                0.82028,              0.0018878,              0.0018878,              0.0018878
                     19,                0.60146,                0.66281,                0.46505,                0.82092,                0.98685,                0.96875,                0.99157,                0.81105,                0.97978,                0.96181,                0.98128,                0.69891,                0.69522,                0.92658,                0.51933,                0.83099,              0.0018812,              0.0018812,              0.0018812
                     20,                0.62664,                0.67186,                0.47826,                0.82327,                 0.9987,                0.97569,                0.99284,                0.81755,                0.98803,                0.96528,                 0.9757,                0.68427,                0.65925,                 1.0444,                0.46509,                0.82605,              0.0018746,              0.0018746,              0.0018746
                     21,                0.60083,                0.65409,                0.45559,                0.82219,                0.99589,                0.98264,                0.99248,                0.84757,                0.98885,                0.97569,                0.98247,                0.74394,                0.64928,                0.87574,                0.46439,                0.82218,               0.001868,               0.001868,               0.001868
                     22,                0.63523,                0.66797,                0.47208,                 0.8252,                0.98269,                0.97222,                0.98758,                0.82757,                0.97181,                0.96181,                0.97298,                0.69711,                0.64195,                0.85062,                0.49611,                0.82873,              0.0018614,              0.0018614,              0.0018614
                     23,                0.60728,                0.64138,                0.46176,                0.82379,                0.97481,                0.98264,                0.99139,                0.84588,                0.97564,                0.97347,                0.98963,                0.72832,                0.63875,                0.83461,                0.50586,                0.82119,              0.0018548,              0.0018548,              0.0018548
                     24,                 0.5908,                0.63095,                 0.4358,                0.82063,                0.98946,                0.97829,                0.99171,                0.83915,                0.98594,                0.97424,                0.98148,                0.74025,                0.66157,                0.86031,                0.46041,                0.82444,              0.0018482,              0.0018482,              0.0018482
                     25,                0.60143,                0.63962,                0.44094,                0.82174,                0.97189,                0.96875,                0.98288,                0.83554,                0.96931,                0.95139,                0.97187,                0.71046,                0.62831,                0.93111,                0.44924,                0.82541,              0.0018416,              0.0018416,              0.0018416
                     26,                0.58515,                0.60978,                0.42397,                 0.8182,                 0.9778,                0.98958,                 0.9933,                0.83584,                0.98369,                0.96875,                0.98476,                 0.7442,                0.62524,                0.88805,                0.45312,                0.83322,               0.001835,               0.001835,               0.001835
                     27,                0.56482,                0.62567,                0.41854,                0.81889,                0.99249,                0.98611,                0.99303,                0.83165,                0.98565,                0.97917,                  0.985,                0.71346,                0.60203,                0.82968,                0.41924,                0.82185,              0.0018284,              0.0018284,              0.0018284
                     28,                 0.5622,                0.59712,                0.40986,                0.81897,                0.99179,                0.97569,                0.99203,                0.82852,                0.98826,                0.97222,                0.98898,                0.72641,                0.66278,                0.77403,                0.42866,                 0.8235,              0.0018218,              0.0018218,              0.0018218
                     29,                  0.591,                0.64178,                0.42773,                0.81852,                0.98597,                0.97592,                0.99087,                0.83068,                  0.979,                0.97131,                0.97835,                 0.7046,                0.63256,                0.90993,                0.44658,                0.82651,              0.0018152,              0.0018152,              0.0018152
                     30,                0.57513,                0.62164,                0.41258,                0.82104,                0.99295,                0.97835,                0.98692,                0.85091,                0.98943,                0.97487,                0.98638,                0.72649,                0.62105,                0.78414,                0.43413,                0.82322,              0.0018086,              0.0018086,              0.0018086
                     31,                0.56579,                0.61652,                0.40735,                0.81727,                0.98949,                0.98052,                0.99275,                 0.8416,                0.98598,                0.97705,                0.98852,                0.72969,                0.60551,                0.81606,                 0.4476,                0.82387,               0.001802,               0.001802,               0.001802
                     32,                0.57489,                0.63466,                0.40335,                0.81503,                0.98261,                0.98082,                0.99309,                0.83802,                0.97565,                0.97388,                0.98503,                 0.7102,                0.58479,                0.85993,                0.43477,                0.81764,              0.0017954,              0.0017954,              0.0017954
                     33,                 0.5628,                0.57714,                0.39827,                  0.813,                0.99652,                0.99454,                0.99497,                0.86551,                0.98609,                0.98424,                0.98759,                  0.771,                0.58175,                 0.8278,                0.41292,                0.81771,              0.0017888,              0.0017888,              0.0017888
                     34,                0.55799,                0.61147,                0.39242,                0.81535,                0.99293,                0.97597,                0.99242,                0.85684,                0.97881,                0.96233,                0.97757,                0.72239,                0.62016,                  0.989,                0.40196,                  0.824,              0.0017822,              0.0017822,              0.0017822
                     35,                0.55763,                0.61085,                 0.3891,                0.81559,                0.99648,                0.98195,                0.99084,                 0.8569,                0.99232,                0.97569,                0.98526,                0.75771,                0.60067,                0.84657,                0.41139,                0.81808,              0.0017756,              0.0017756,              0.0017756
                     36,                 0.5613,                0.61184,                 0.3881,                0.81259,                0.99827,                0.98264,                0.99414,                0.84622,                0.98475,                0.96875,                0.98819,                0.72102,                 0.6609,                0.81197,                 0.4044,                0.82435,               0.001769,               0.001769,               0.001769
                     37,                0.58328,                0.62032,                0.39942,                0.81503,                0.98876,                0.98958,                0.99222,                0.85525,                0.97139,                0.97222,                0.98462,                 0.7368,                0.61479,                0.89872,                0.39955,                0.81826,              0.0017624,              0.0017624,              0.0017624
                     38,                 0.5493,                0.59953,                0.38773,                0.81362,                      1,                0.98512,                0.99388,                0.86618,                0.99648,                0.98164,                0.99159,                0.76169,                0.59693,                0.78475,                0.39289,                0.81569,              0.0017558,              0.0017558,              0.0017558
                     39,                0.53948,                0.56154,                0.37897,                0.81255,                0.97225,                0.98264,                0.99201,                 0.8657,                0.96873,                0.97917,                0.98435,                0.74324,                 0.5627,                0.80774,                0.39151,                0.81063,              0.0017492,              0.0017492,              0.0017492
                     40,                0.54354,                 0.5779,                0.37153,                0.81247,                0.99463,                0.98611,                0.99062,                0.87144,                0.99281,                0.98264,                0.99058,                0.74397,                0.57631,                 0.7772,                0.38112,                0.81348,              0.0017426,              0.0017426,              0.0017426
                     41,                0.54581,                 0.5729,                0.37364,                0.81412,                      1,                0.98229,                0.99411,                0.86687,                0.99647,                0.97882,                0.99277,                0.77788,                 0.6012,                0.74409,                0.39184,                0.81567,               0.001736,               0.001736,               0.001736
                     42,                0.54962,                0.60034,                0.37242,                 0.8095,                0.98619,                0.99209,                0.99451,                0.87714,                0.97584,                0.98168,                0.99086,                0.76427,                 0.5739,                0.76129,                0.37808,                0.81354,              0.0017294,              0.0017294,              0.0017294
                     43,                 0.5126,                0.54467,                0.35988,                0.80659,                0.98548,                0.99306,                0.99448,                0.85805,                0.97858,                0.98611,                0.98748,                0.71988,                0.61787,                0.81124,                0.39113,                0.82043,              0.0017228,              0.0017228,              0.0017228
                     44,                0.54028,                0.56599,                 0.3704,                0.81202,                0.99025,                0.98264,                0.99472,                0.87353,                0.98667,                0.97917,                0.98875,                0.76334,                0.58096,                0.77103,                0.37254,                0.81661,              0.0017162,              0.0017162,              0.0017162
                     45,                0.53894,                0.57854,                0.36675,                0.81197,                0.99287,                0.98958,                0.99486,                0.87028,                0.98586,                0.98264,                0.98868,                0.77038,                0.60712,                0.79351,                0.38001,                0.81308,              0.0017096,              0.0017096,              0.0017096
                     46,                0.53907,                0.58194,                0.36596,                0.81038,                0.99294,                 0.9766,                0.99225,                0.86301,                0.99203,                0.97569,                0.98714,                0.75808,                0.59387,                0.87965,                0.37102,                0.81417,               0.001703,               0.001703,               0.001703
                     47,                0.54513,                0.59483,                0.36808,                0.81469,                0.99305,                0.99255,                0.99486,                0.85927,                0.97912,                0.97704,                0.98277,                0.73937,                 0.5993,                0.90418,                0.37986,                0.81938,              0.0016964,              0.0016964,              0.0016964
