                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96705,                 1.3157,                 2.5392,                0.89538,                0.02714,                0.98958,                0.51636,                0.32865,                0.02695,                0.98264,                0.51704,                0.34786,                0.74889,                 1.0073,                 2.9951,                0.80758,                0.00048,                0.00048,                0.00048
                      2,                0.81681,                0.97255,                 1.0009,                0.85925,                0.02486,                0.90625,                0.04159,                0.02943,                0.02486,                0.90625,                0.04097,                0.02784,                0.76054,                 1.4174,                 3.1832,                0.90607,             0.00093149,             0.00093149,             0.00093149
                      3,                0.77637,                0.87331,                0.79941,                0.86028,                      1,                0.31604,                0.80278,                0.61576,                      1,                0.31604,                0.80285,                0.62924,                0.79082,                0.91077,                 2.3154,                0.85856,              0.0013335,              0.0013335,              0.0013335
                      4,                0.77058,                0.83879,                0.73213,                0.84892,                0.95017,                0.86066,                0.96041,                0.75184,                0.95014,                0.86023,                0.95588,                0.69864,                0.72267,                0.88184,                  1.473,                0.85169,               0.001686,               0.001686,               0.001686
                      5,                0.74356,                0.83322,                0.69272,                 0.8504,                 0.9094,                0.94104,                0.97313,                 0.7624,                0.91311,                0.94097,                0.96756,                 0.7048,                0.74929,                0.74846,                 1.1101,                0.87205,               0.001604,               0.001604,               0.001604
                      6,                0.71431,                0.74858,                 0.6465,                0.84202,                0.96864,                0.96535,                0.98638,                0.79815,                0.97213,                0.96882,                0.98151,                0.72662,                0.60389,                0.71521,                0.78411,                0.83909,               0.001505,               0.001505,               0.001505
                      7,                0.64942,                0.70324,                0.59995,                0.83363,                0.96852,                 0.9616,                0.98671,                0.81986,                0.96503,                0.95813,                0.98292,                0.74396,                 0.5724,                0.67804,                0.68969,                0.83386,               0.001406,               0.001406,               0.001406
                      8,                0.65744,                0.71528,                0.58531,                0.83422,                0.97752,                0.96528,                0.99112,                0.80138,                0.98218,                0.95707,                0.98908,                0.73742,                0.59288,                0.63773,                0.61917,                0.83141,               0.001307,               0.001307,               0.001307
                      9,                0.65211,                0.70143,                0.56169,                0.83089,                0.98251,                0.97516,                0.99199,                0.82228,                0.98601,                0.97863,                0.98347,                0.74148,                0.54956,                0.61008,                0.57753,                 0.8233,               0.001208,               0.001208,               0.001208
                     10,                0.63025,                0.65588,                0.54105,                 0.8281,                0.97797,                0.97917,                0.99258,                0.82793,                0.98252,                0.97566,                0.98385,                0.72789,                0.53653,                0.66249,                0.51878,                0.82268,               0.001109,               0.001109,               0.001109
                     11,                0.56721,                0.64499,                0.54597,                0.81325,                0.99292,                0.97347,                0.99429,                0.83719,                0.98263,                0.97222,                0.98283,                0.73524,                0.50342,                0.60191,                0.53714,                0.81882,                0.00101,                0.00101,                0.00101
                     12,                 0.5584,                0.62414,                 0.5125,                0.81157,                0.98109,                0.97917,                0.99115,                0.83354,                0.96849,                0.96528,                 0.9777,                0.74316,                0.48604,                0.64313,                0.55118,                0.81667,               0.000911,               0.000911,               0.000911
                     13,                0.56262,                0.61544,                0.50791,                0.80699,                0.98602,                0.97927,                0.99381,                0.84036,                0.98736,                0.97569,                 0.9861,                0.74497,                0.49959,                0.55795,                0.51493,                0.82279,               0.000812,               0.000812,               0.000812
                     14,                 0.5375,                0.60905,                0.48979,                0.80595,                0.99253,                0.97917,                0.99426,                 0.8242,                0.99115,                0.97569,                0.99329,                 0.7464,                0.51525,                0.62067,                0.47564,                0.81894,               0.000713,               0.000713,               0.000713
                     15,                0.53158,                0.61507,                0.47479,                 0.8015,                0.99269,                0.99306,                0.99415,                 0.8564,                0.98255,                0.97728,                0.99208,                0.77123,                0.47173,                0.53471,                0.45199,                0.81744,               0.000614,               0.000614,               0.000614
                     16,                0.53453,                0.60595,                0.47143,                0.80017,                0.99917,                0.98264,                 0.9949,                0.84511,                0.99917,                0.98264,                 0.9949,                0.76955,                0.47895,                0.56268,                0.43163,                0.82328,               0.000515,               0.000515,               0.000515
                     17,                0.52562,                0.57997,                0.45726,                0.80328,                      1,                0.98839,                0.99479,                0.84738,                0.99646,                0.97762,                0.99101,                0.73568,                0.45695,                0.55657,                0.43008,                0.81837,               0.000416,               0.000416,               0.000416
                     18,                0.50994,                 0.5815,                0.43816,                0.79734,                0.99905,                0.98958,                0.99453,                 0.8547,                0.99204,                0.98264,                0.99135,                0.75389,                0.44279,                0.56708,                0.41036,                 0.8178,               0.000317,               0.000317,               0.000317
                     19,                0.48532,                  0.568,                0.41728,                 0.7936,                      1,                0.98845,                0.99486,                0.85653,                      1,                0.98845,                 0.9946,                0.75451,                0.42221,                 0.5351,                 0.4068,                0.81327,               0.000218,               0.000218,               0.000218
                     20,                0.46926,                0.54592,                0.41156,                0.79096,                      1,                0.98887,                0.99483,                 0.8676,                      1,                0.98887,                0.99469,                0.76285,                0.42783,                 0.5316,                0.38799,                0.81259,               0.000119,               0.000119,               0.000119
