                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.56189,                0.61828,                0.41535,                0.81117,                0.98923,                0.97569,                0.98709,                0.83502,                0.98278,                0.96528,                0.98232,                0.73425,                 0.5061,                0.65054,                0.39614,                0.82389,              0.0015248,              0.0015248,              0.0015248
                     26,                0.56947,                0.62068,                0.41276,                0.81181,                0.99567,                0.98264,                0.98643,                 0.8287,                0.99215,                0.97917,                0.98564,                0.72697,                 0.5506,                0.71225,                0.41404,                0.82452,               0.001505,               0.001505,               0.001505
                     27,                0.58602,                0.61925,                0.41035,                0.81845,                0.98581,                0.98611,                0.99036,                0.83281,                0.98234,                0.98264,                0.98623,                 0.7307,                0.53736,                0.61882,                0.39137,                0.82209,              0.0014852,              0.0014852,              0.0014852
                     28,                0.56509,                0.61992,                0.40465,                0.81364,                0.99704,                0.97917,                0.99428,                0.84533,                0.99351,                0.97569,                 0.9887,                0.76595,                0.51344,                0.52067,                0.37229,                0.82314,              0.0014654,              0.0014654,              0.0014654
                     29,                0.53426,                 0.5607,                0.38871,                0.81598,                0.99886,                0.97917,                0.99443,                 0.8623,                0.99886,                0.97917,                0.99437,                0.75468,                 0.4918,                0.56035,                0.35622,                0.81793,              0.0014456,              0.0014456,              0.0014456
                     30,                0.54786,                0.60128,                0.39323,                0.81316,                0.97591,                0.98455,                0.99325,                0.85133,                0.96905,                 0.9784,                0.99168,                0.74585,                0.50519,                0.63704,                 0.3654,                0.82329,              0.0014258,              0.0014258,              0.0014258
                     31,                0.56525,                0.60442,                0.40449,                0.81501,                0.99897,                0.96528,                0.99146,                0.85505,                0.99538,                0.96181,                0.98027,                0.73678,                 0.5141,                 0.5857,                 0.3705,                0.81782,               0.001406,               0.001406,               0.001406
                     32,                 0.5655,                0.62415,                0.39288,                0.81538,                0.98596,                0.97563,                0.98732,                0.84413,                0.99283,                0.96098,                0.97709,                0.75167,                0.49421,                0.61238,                0.39053,                0.81689,              0.0013862,              0.0013862,              0.0013862
                     33,                0.53548,                0.57771,                0.38251,                0.81523,                0.99011,                0.97917,                0.99273,                0.85876,                0.99646,                0.97704,                 0.9875,                0.76169,                0.46786,                0.61997,                0.35504,                0.82201,              0.0013664,              0.0013664,              0.0013664
                     34,                0.53445,                0.55724,                0.37953,                0.81122,                0.99102,                0.99653,                 0.9949,                0.86257,                0.99106,                0.96875,                0.98645,                0.74708,                0.50487,                0.61772,                0.37025,                0.82147,              0.0013466,              0.0013466,              0.0013466
                     35,                0.53087,                0.55785,                0.37616,                 0.8095,                0.99923,                0.98611,                 0.9949,                0.87937,                0.99219,                0.97917,                0.98702,                0.76604,                0.47021,                0.61705,                0.32117,                0.81478,              0.0013268,              0.0013268,              0.0013268
                     36,                0.52316,                 0.5587,                0.36724,                0.80988,                0.98959,                0.98983,                0.99486,                0.86387,                0.99104,                0.97222,                0.98905,                0.75948,                0.49001,                0.58007,                0.34955,                0.81985,               0.001307,               0.001307,               0.001307
                     37,                0.52026,                0.55756,                0.36719,                0.81238,                0.99812,                0.98264,                0.99486,                0.85515,                 0.9946,                0.97917,                0.99218,                 0.7575,                0.49106,                0.58928,                 0.3513,                0.81849,              0.0012872,              0.0012872,              0.0012872
                     38,                0.52643,                0.56745,                0.37466,                0.81337,                0.99298,                0.98169,                0.99472,                0.85814,                0.98595,                0.97474,                0.98772,                0.75461,                0.49805,                0.60149,                 0.3618,                0.81677,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52876,                  0.581,                0.36558,                0.80696,                0.99305,                0.99269,                0.99486,                0.87366,                0.99293,                0.98264,                0.99212,                0.77974,                0.46553,                0.56907,                0.35178,                0.81153,              0.0012476,              0.0012476,              0.0012476
                     40,                0.52284,                0.57571,                0.36246,                0.80943,                0.98895,                0.99653,                0.99415,                0.87748,                0.98935,                0.99306,                0.99412,                0.78755,                0.46738,                0.52634,                0.35015,                0.81464,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51687,                0.55589,                0.36122,                0.80781,                0.99652,                0.99541,                0.99497,                0.88684,                  0.993,                 0.9851,                0.98834,                0.78544,                 0.4591,                0.54173,                0.33355,                0.81794,               0.001208,               0.001208,               0.001208
                     42,                0.51863,                0.57211,                0.35856,                0.81111,                0.99653,                0.99622,                  0.995,                0.87695,                0.98879,                0.98611,                0.98963,                0.78268,                0.45915,                0.53535,                0.31391,                0.81993,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52796,                0.55069,                0.36136,                 0.8069,                0.99591,                0.98958,                0.99493,                 0.8721,                0.99646,                0.97854,                0.99035,                0.77559,                0.46884,                0.58737,                0.32862,                0.82219,              0.0011684,              0.0011684,              0.0011684
                     44,                0.50981,                 0.5515,                0.35595,                0.80533,                0.99442,                0.98264,                0.99466,                0.86491,                0.99442,                0.98264,                0.98941,                0.76524,                0.46054,                0.61485,                0.32631,                0.81262,              0.0011486,              0.0011486,              0.0011486
                     45,                0.52157,                0.57294,                0.35827,                0.80904,                 0.9948,                0.98264,                0.99466,                0.85952,                0.99288,                0.96818,                0.98522,                0.75434,                0.49141,                0.60982,                0.32453,                0.82159,              0.0011288,              0.0011288,              0.0011288
                     46,                0.50186,                0.55265,                0.34891,                0.80678,                0.99185,                0.98958,                0.99476,                0.87783,                0.98599,                0.97746,                0.98614,                 0.7772,                0.46501,                0.57184,                0.31702,                0.81497,               0.001109,               0.001109,               0.001109
                     47,                0.52777,                0.57965,                0.35372,                0.80765,                0.98962,                0.98264,                0.99462,                0.86755,                0.98263,                0.97569,                0.98807,                0.76506,                0.49211,                0.60071,                0.33159,                0.82241,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52802,                0.55189,                0.36103,                 0.8088,                      1,                0.97176,                0.99369,                0.86202,                0.99044,                0.97222,                0.98734,                 0.7542,                0.52778,                0.70117,                0.36156,                0.83654,              0.0010694,              0.0010694,              0.0010694
                     49,                0.50934,                0.56533,                0.35098,                0.80662,                0.98147,                0.98611,                0.99323,                0.86536,                0.97448,                0.97917,                0.98512,                0.74209,                0.47405,                0.65071,                0.36265,                0.81479,              0.0010496,              0.0010496,              0.0010496
                     50,                0.51418,                0.54914,                0.35358,                0.80724,                0.99898,                0.98611,                0.99126,                0.88569,                0.98842,                0.97569,                 0.9873,                 0.7789,                0.44161,                0.53106,                 0.3273,                0.80951,              0.0010298,              0.0010298,              0.0010298
                     51,                0.49926,                0.54479,                0.34376,                0.80664,                0.99787,                0.97917,                0.99124,                0.88007,                0.99425,                0.97569,                0.98905,                0.77407,                0.43009,                0.53908,                0.33887,                0.81059,                0.00101,                0.00101,                0.00101
                     52,                0.49113,                0.54426,                0.34131,                0.80506,                0.99907,                0.98611,                0.99466,                 0.8817,                0.99555,                0.98264,                0.99257,                0.77075,                0.44972,                0.54586,                0.31776,                0.81548,              0.0009902,              0.0009902,              0.0009902
